Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_xrai_full_test.pt
v_PoleVault_g03_c02: 0.5864517367081135
v_PoleVault_g03_c03: 0.6584989877519547
v_PoleVault_g03_c04: 0.6017577573293238
v_PoleVault_g03_c05: 0.6337216025785892
v_PoleVault_g03_c06: 0.7054071370148449
v_PoleVault_g03_c07: 0.7546775890150457
v_PoleVault_g04_c01: 0.5694167855763226
v_PoleVault_g04_c02: 0.5447113571790396
v_PoleVault_g04_c03: 0.6503641486269771
v_PoleVault_g04_c04: 0.5800419225924998
v_PoleVault_g04_c05: 0.7488274196730345
v_PoleVault_g04_c06: 0.8096269287270843
v_PoleVault_g04_c07: 0.6901822127038031
v_PoleVault_g05_c01: 0.8121760405701934
v_PoleVault_g05_c02: 0.8109946311087697
v_PoleVault_g05_c03: 0.8771624052533298
v_PoleVault_g05_c04: 0.7319711546515464
v_PoleVault_g05_c05: 0.6868520534699201
v_PoleVault_g06_c01: 0.7631798886795877
v_PoleVault_g06_c02: 0.6065255354260444
v_PoleVault_g06_c03: 0.6413177584399818
v_PoleVault_g06_c04: 0.782983588251227
v_PoleVault_g06_c05: 0.7474034379338264
v_PoleVault_g07_c01: 0.7496840599560528
v_PoleVault_g07_c02: 0.6784372962647467
v_PoleVault_g07_c03: 0.6837665571001708
v_PoleVault_g07_c04: 0.47387389811774483
v_RopeClimbing_g01_c01: 0.9033211780479178
v_RopeClimbing_g01_c02: 0.7675175281474367
v_RopeClimbing_g01_c03: 0.347341614193283
v_RopeClimbing_g01_c04: 0.7062170136487111
v_RopeClimbing_g02_c01: 0.8538296687183902
v_RopeClimbing_g02_c02: 0.8995559165487066
v_RopeClimbing_g02_c03: 0.6188608208904043
v_RopeClimbing_g02_c04: 0.3940804883604869
v_RopeClimbing_g02_c05: 0.91338615573477
v_RopeClimbing_g02_c06: 0.7118830137187615
v_RopeClimbing_g03_c01: 0.532077623414807
