Loaded /home/lzq/ExpEval/exe_res/sthsthv2_r2p1d_grad_cam_full_layer3_test.pt
98601: 0.24822117110306863
88138: 0.2492038697237149
183695: 0.22557252328260802
62631: 0.9091386164654978
15130: 0.6507954960907227
127476: 0.04043135572646861
210861: 0.6383465487779176
72569: 0.0015279280469258083
117774: 0.020959275992936455
172962: 0.05837995135516394
65326: 0.5144966187835962
209204: 0.5251432930817828
177434: 0.23967904348683078
120309: 0.1840913999658369
70601: 0.3645334890898084
72143: 0.26569633347389754
95559: 0.0976866879791487
163013: 0.17131380616046954
176988: 0.027537235691852402
132594: 0.11482692415302154
154707: 0.19401400472270325
57188: 0.32754754001507536
158303: 0.621976729024027
217331: 0.08807384853207623
212382: 0.2978741131955758
197612: 0.17489376207231544
101804: 0.5587872369796969
49546: 0.5943957609706558
195639: 0.4653651566513872
49358: 0.035538294021534966
49163: 0.27895303940749727
87265: 0.11894347449560883
18943: 0.8054332321808033
56679: 0.007637059040916938
83296: 0.6791507866892061
181944: 0.15150096732577367
66960: 0.05352827404203708
82744: 0.54773031066361
88126: 0.6883446322899545
190946: 0.6594466987153282
94733: 0.10915928406029707
201098: 0.6626284315716475
144614: 0.2285578566006734
65448: 0.36830157692020293
156112: 0.23180666856933385
123758: 0.6630192320008064
91948: 0.22264178830664605
10037: 0.10834656944098242
129824: 0.1751468709699111
121328: 0.16736536085227272
4943: 0.2892391882051015
79967: 0.31225237155740615
186266: 0.3250057324912632
29554: 0.6587190751761227
153427: 0.9128280264158093
125413: 0.0003428639040521375
156782: 0.4112309136035037
166247: 0.22622149832022842
166326: 0.6793402998009697
128300: 0.678589351955452
14426: 0.048346456704166485
165442: 0.9948060290917056
31654: 0.4003690335266583
1780: 0.8752873321936931
112347: 0.13817783687773044
188681: 0.5822576761856908
75719: 0.8295061886456097
3506: 0.41901277409124305
55259: 0.9861811196460621
37195: 0.007115824279026128
145109: 0.7933411369049281
140315: 0.0011438220726631698
59338: 0.8985647519093618
133223: 0.3353019946553104
56496: 0.05945145059195056
96898: 0.8740993808169151
28353: 0.0023079236957528337
180944: 0.9947509581252234
169346: 0.6840174170356477
94171: 0.867626755449237
5182: 0.4402405640721554
108781: 0.29298127281072084
14195: 0.01668358693495975
12301: 0.5746319031186431
170558: 0.258525755503797
211881: 0.0016143229267591153
173351: 0.3541807628935203
204955: 0.9872844030178385
136827: 0.6268648942495929
149435: 0.46172424978067284
204551: 0.8463024695083732
124256: 0.07894136267714202
175926: 0.051694631303689675
159992: 0.871058581120451
181866: 0.11618309396362747
70598: 0.03485920933962916
193751: 0.007911070946192922
29861: 0.3785373988393985
165093: 0.9675368668540614
80488: 0.7172209410491632
129064: 0.16105486928063328
131621: 0.2501984210757655
80963: 0.46762431974821084
4946: 0.017938495275302557
121692: 0.525928147151717
68397: 0.47813235537614673
215794: 0.004612930555595085
157845: 0.9433634132292354
78066: 0.18841489663645916
25058: 0.1825186749920249
104855: 0.02510197487026744
91758: 0.4312508322909707
68421: 0.0063667086797067896
28718: 0.2790275871520862
153776: 0.4619741328933742
48203: 0.4139057574866456
151323: 0.6394359454279765
217892: 0.250106424340629
85124: 0.07543608162086457
164504: 0.08370903181639733
166476: 0.44309411288304545
214308: 0.18792161633609794
210400: 0.9933524720399873
186388: 0.20764785339633818
157520: 0.5930092063917982
171871: 0.24763715672816033
95730: 0.262784868828021
86955: 0.28609506408429297
59218: 0.132252538431203
210183: 0.5641088627889985
47297: 0.12650196676986525
120787: 0.993456714975764
144261: 0.1816240122734598
209867: 0.024221995585321565
214697: 0.4538154697020218
72734: 0.14159655222465517
62430: 0.47175761423750373
180698: 0.6882106733482942
4026: 0.30517656926531345
36868: 0.4889965179609135
64099: 0.35155320677040436
192232: 0.23414075411642443
114795: 0.19562400609720498
39505: 0.5183235636213794
149797: 0.498349047238662
116747: 0.08753402726142667
48465: 0.49094467890972737
45429: 0.8591956486434356
145090: 0.5235722842771793
183973: 0.006712656459058053
42367: 0.008597371136147558
69126: 0.11195014149416238
75125: 0.38336713101307396
52775: 0.6018959904995427
205873: 0.08661927306820871
115644: 0.1055664656450972
190527: 0.0027516996651684167
56553: 0.05759992934508773
168990: 0.010920610956418386
62225: 0.30558276942065277
153507: 0.5540143996204279
186952: 0.8482842405301199
184917: 0.8819548205447063
134946: 0.2850733450122789
141757: 0.6158874260236189
170749: 0.00786844795126207
96676: 0.17605874944274547
127755: 0.9489588320229814
194192: 0.8074089206725148
205758: 0.07265110132902919
44551: 0.7462638800002424
90056: 0.7085832261450378
155132: 0.23853567106698392
55232: 0.05863409395533381
164740: 0.005449897281778249
62941: 0.0013140473074599868
37797: 0.2866903882909355
167549: 0.05216555215156404
Finished: cm_16, ins, most_first, sthsthv2, r2p1d, grad_cam, #Step=128
Average: 0.3322745847718401
