Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_g_full_test.pt
18943: 0.4564168336291914
56679: 0.0009802967861105572
83296: 0.38760575271408015
181944: 0.016216923471802147
66960: 0.0006349156683427282
82744: 0.10305545869778143
88126: 0.5698017749691644
190946: 0.9087210752768442
94733: 0.44376764398475643
201098: 0.8665846817311831
144614: 0.09455807171252673
65448: 0.34386550140334293
156112: 0.052781005317228846
123758: 0.5738973769839504
91948: 0.05799928115447983
10037: 0.008043089159400552
129824: 0.004064583058607241
121328: 0.08198600182731752
4943: 0.1157232369077974
79967: 0.37758636818034574
186266: 0.706684765567843
29554: 0.22113459328647878
153427: 0.0960199401670252
125413: 0.003823020878371608
156782: 0.02369369372172514
166247: 0.030937608622480184
166326: 0.5376040995324729
128300: 0.8865905219445267
14426: 0.010868387194932438
165442: 0.6456913989968598
31654: 0.074845316070423
1780: 0.09139926944044419
112347: 0.04293711880745832
188681: 0.11886791956476372
75719: 0.5475932467743405
3506: 0.5258778300558333
55259: 0.8635293662082404
37195: 0.05193877330748364
145109: 0.24402956367885054
140315: 0.04346438063514313
59338: 0.7143326890163735
133223: 0.22400981951068388
56496: 0.009247968991985545
96898: 0.7121812889108696
28353: 0.09164495967524999
180944: 0.9235836789011955
169346: 0.6067462669234374
94171: 0.16575478943741473
5182: 0.04764689148760226
108781: 0.13621450131904567
14195: 0.0517176209596073
12301: 0.1632628557690623
170558: 0.47365154994076875
211881: 0.0007130360071130326
173351: 0.013352930720429868
204955: 0.9469865406863391
136827: 0.8897334020584822
149435: 0.2006950772502023
204551: 0.4770982054542401
124256: 0.3908865658304421
175926: 0.26974798907940567
159992: 0.829291699687019
181866: 0.00048043569950095844
70598: 0.013056303789198864
193751: 0.014887999030179344
29861: 0.21004619537416147
165093: 0.9668020831886679
80488: 0.66093466617167
129064: 0.09728921962960158
131621: 0.009570486872689798
80963: 0.21819509244051005
4946: 0.006803957759984769
121692: 0.6716142398527154
68397: 0.09188794129295275
215794: 0.037761195541861525
157845: 0.8193727626221516
78066: 0.05251849790329288
25058: 0.2754249147255905
104855: 0.12024574311908509
91758: 0.2830886905303487
