Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_perturb_full_test_summed.pt
91152: 0.2886605297659788
72127: 0.1361463993136489
87330: 2.9459980799173557e-05
163401: 0.00023248713937890075
129246: 0.3454417643081342
70330: 0.7558281420873928
99362: 0.030482036649885913
201763: 0.1372252787071614
180544: 0.1317931007072275
174303: 0.5504665145558647
23234: 0.35347030413709035
154348: 0.11397577672007181
169687: 0.0027405072499516736
21859: 0.12137379683342608
124127: 0.0012871148377121555
104101: 0.021022844560161014
69096: 0.6227843148622574
23209: 0.2960638167128309
175751: 0.4861663850899731
67666: 0.025235994413081997
34480: 0.0026464739613755173
18022: 0.12221104830079554
34190: 0.12467469423541999
197983: 0.3325097919967508
83014: 0.02155626919857756
217361: 0.5876276426427012
63033: 0.036041219309394745
217275: 0.39089372326059113
94488: 0.03465978124023117
138482: 0.8495867807461608
151981: 0.037476999655548154
50271: 0.06289514532750978
154023: 0.04343815240933219
15156: 0.24897425107830629
4441: 0.0009562386963506975
62548: 0.02021171923553311
11164: 0.11775137225413346
107584: 0.06231866334447034
71742: 0.001142622309498742
442: 0.4114262667249205
182807: 0.0026012146277938075
180728: 0.003490708141567933
7168: 0.039576917691160673
121865: 0.025499787363645332
153700: 0.6108729951959049
203910: 0.02779894257703408
93623: 0.0013430583559728149
30725: 0.17045207960261344
