Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_g_full_test.pt
85534: 0.023298141431489228
127667: 0.1479401880107819
195911: 0.010198903527619069
190267: 0.0003268207155772973
202258: 0.33509566052253525
76365: 0.5184977776373216
55373: 1.1556507516649606e-05
55733: 0.28592550929645066
37952: 0.05788899819937804
99490: 0.000445245463087246
207898: 0.0004077804860251888
189156: 0.630966186593032
158643: 0.2265914398854148
33400: 0.06935106209143083
110861: 0.8554807272718552
168741: 0.007796793238142641
137162: 0.7989815784067783
27026: 0.5415584490112906
126202: 0.006054156396824356
159740: 0.0020047965584844285
190860: 0.04640103534984519
113048: 0.2815836718364153
29155: 0.2282993961069284
196274: 0.0005458773555906404
87192: 0.045598694439533904
108021: 0.3673737674909203
25377: 0.13715983772999607
8220: 5.993146737995336e-05
78887: 0.05680845335049867
12511: 0.2725005221541883
186888: 0.0029861500708850824
65315: 0.0548819917309196
24107: 0.025694612752744206
16984: 0.14830673942924477
15038: 0.43008759975805333
62082: 2.674070325490996e-05
115190: 0.1469821468458759
128653: 0.11710867207623075
146367: 0.18152464868510132
82961: 0.02974365882781882
43853: 0.0006597551469275055
22383: 0.2235600116620331
187004: 0.01133269423553429
209640: 0.061850290274680975
108361: 0.00040373854419373245
149791: 0.8105963753912775
2403: 0.8709571924970749
175728: 0.003345835791119356
175300: 0.10020103456354867
109310: 0.0008324046552107278
36015: 0.35195331864499174
218395: 0.0025620667035468614
176519: 0.4588138124355051
134378: 0.1858221182597118
139854: 0.1000657682846634
31875: 0.009314565303541134
89241: 0.03456180132488981
162638: 0.0001116424024871776
205413: 0.47041639025830506
233: 0.18427177437737896
161965: 0.17339469976610555
214289: 0.4598741501050867
25820: 0.467624365436745
132103: 0.9519484422635287
24760: 0.008766291865221376
111689: 4.6014616769451955e-05
107735: 0.018069682596501102
5570: 0.39510699884162115
164364: 0.9289988468226511
60290: 0.0020904408805073327
144706: 0.02128595139294731
207555: 0.00010457030527358246
114673: 0.1558274140161554
76825: 0.5393607779507719
89811: 0.00044822665855903665
4372: 0.3708516900491112
52930: 0.002016694037742184
209457: 0.004063649895915733
18492: 0.003895622161223855
118858: 0.09671768476137288
185520: 0.6581215274929946
3020: 0.0020205157299475474
45088: 0.021942340193021437
166000: 0.13374121759350174
8643: 0.5519075292956348
