Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_test_summed.pt
113093: 0.5927375049795955
214483: 0.002583114110166207
179463: 0.06167744602134917
115323: 0.7986379839021538
218178: 0.2911865553360258
144486: 0.3629231614067976
114099: 0.8735479170463805
211484: 0.042358297752798535
117770: 0.4070799812216137
219866: 0.08535502010636264
136583: 0.02606623469000624
91152: 0.1956307888503943
72127: 0.33487887086812407
87330: 0.018043837539153174
163401: 0.3275269367022702
129246: 0.27686733844166156
70330: 0.5921556624598452
99362: 0.21533935578736418
201763: 0.027079438459622907
180544: 0.12587253977710589
174303: 0.8998630887836043
23234: 0.4327578539814567
154348: 0.014896315733494703
169687: 0.01296523599376087
21859: 0.13575114075865713
124127: 0.020766774327057647
104101: 0.0006667878915322945
69096: 0.47285957557323854
23209: 0.8512391113217745
175751: 0.7804083705268567
67666: 0.6461308331236069
34480: 0.0024232431169366464
18022: 0.5839881103966036
34190: 0.48707847436890006
197983: 0.4946399891632609
83014: 0.040863148757864565
217361: 0.5865079494979
63033: 0.04483997951683705
217275: 0.09896980564553814
94488: 0.6563938874169253
138482: 0.5038262401376414
151981: 0.017859152345408802
50271: 0.6362294794889749
154023: 0.18896450943429954
15156: 0.02145331748033641
4441: 0.014497031569248975
62548: 0.019811539619695395
11164: 0.5685674739142996
107584: 0.2242500462452881
71742: 0.11509078640665393
442: 0.5070872425931157
182807: 0.10963733893731842
180728: 0.028221150514582405
7168: 0.008471440669381991
121865: 0.045454202674591215
153700: 0.5259370505664265
203910: 0.014392070839676308
93623: 0.10439951593070873
30725: 0.11410536627590773
18846: 0.007268403180205496
5207: 0.07383398621459492
19993: 0.4284737957059406
83822: 0.04443236051520216
26164: 0.09264770190748095
154372: 0.06148938120350067
56648: 0.002260258526803227
45340: 0.19735883854446
115880: 0.24480374807899352
145254: 0.23999185934735578
22759: 0.07095789221421
190342: 0.4078480100724846
85534: 0.03216245257681294
127667: 0.00940881409405847
195911: 0.6242094697099674
190267: 0.04753058378264541
202258: 0.8832750103319995
76365: 0.05813424753432628
55373: 0.025617956551286625
55733: 0.41405752687205677
37952: 0.5341078914134414
99490: 0.005272315459478705
207898: 0.01564012441667728
189156: 0.11529701532708714
158643: 0.058232268354913685
33400: 0.30211730463270214
110861: 0.7122095441918646
168741: 0.26833956356858835
137162: 0.8682039048944716
27026: 0.536206312928698
126202: 0.004027738971444705
159740: 0.009034852277181926
190860: 0.021662539133103564
113048: 0.05405708754551597
29155: 0.5041855726740323
196274: 0.240490485492046
87192: 0.4318157025372784
108021: 0.00017621813913137885
25377: 0.18122515094000846
8220: 0.0146121036796103
78887: 0.26826294503371173
12511: 0.21807866303424817
186888: 0.154530286690715
65315: 0.1817401715379674
24107: 0.13388202936585003
16984: 0.1902013020880986
15038: 0.30815121623163577
62082: 0.07507641137999599
115190: 0.07052524853685327
128653: 0.009821870731684612
146367: 0.30613286899824743
82961: 0.09117188998243364
43853: 0.03048883231531363
22383: 0.0821972754674789
187004: 0.2793214673001785
209640: 0.6518393650549115
108361: 0.28664241924343514
149791: 0.5325889086325333
2403: 0.1124977362815116
175728: 0.02058712558937259
175300: 0.11880055538858869
109310: 0.15521821447327966
36015: 0.5314778571846546
218395: 0.05851465527666733
176519: 0.14511889051209437
134378: 0.2632383080563159
139854: 0.1649257819117338
31875: 0.028731407579471124
89241: 0.026369011706265155
162638: 0.0025439708842895925
205413: 0.4774843527484336
233: 0.3453479752988642
161965: 0.08521094654861372
214289: 0.1565259717317531
25820: 0.5431704611473833
132103: 0.5967674765270203
24760: 0.06941187120719405
111689: 0.0016818027038425498
107735: 0.29712635995383607
5570: 0.5250320351624396
164364: 0.7194084103684872
60290: 0.00027966171477800117
144706: 0.1382621873053722
207555: 0.002273650532515603
114673: 0.37427812763053225
76825: 0.6781226634648192
89811: 0.023103166633518413
4372: 0.4240899812848511
52930: 0.15364810074424895
209457: 0.393514883275202
18492: 0.12795067389379255
118858: 0.14800063910661265
185520: 0.7179666808660841
3020: 0.11063805659068748
45088: 0.2069656221774494
166000: 0.010634251088049496
8643: 0.025012664544192376
171666: 0.02359130318473035
105033: 0.0922804670590267
216074: 0.4762767655283824
107629: 0.1714424257988867
159862: 0.03518010344123468
100917: 0.021286503912051558
94286: 0.001751684049565938
45193: 0.5094297959603864
27595: 0.1503140426466416
83332: 0.013707372407225193
61892: 0.0038630113886028994
70679: 0.4140500097273616
89640: 0.06060861258083605
215140: 0.368991404051485
192997: 0.4050245472917595
85790: 0.014493366482383863
142742: 0.7357851874039625
197873: 0.0007246126339737202
161313: 0.535270908889288
151187: 0.6804370172922063
67155: 0.4077299847958784
77129: 0.31678939465928124
195652: 0.10738619585936249
137210: 0.027428800694906386
69033: 0.7352492512891331
65141: 0.857116482919082
96935: 0.04482366404954519
98601: 0.401923553647066
88138: 0.4547151768783806
183695: 0.10579323771526106
62631: 0.3110969407243829
15130: 0.07081813759577926
127476: 0.19216161885560723
210861: 0.7746571665993542
72569: 0.0011188059688720386
117774: 0.08050485159037635
172962: 0.18779557133166236
65326: 0.8579792155087489
209204: 0.20041828782996163
177434: 0.3877272535664815
120309: 0.5103076148734544
70601: 0.3422050603548996
72143: 0.24620237661292776
95559: 0.06780485924173263
163013: 0.37626190674563986
176988: 0.0263876017597795
132594: 0.20397607673658058
154707: 0.13759309483066318
57188: 0.10686697584969806
158303: 0.13362791904364713
217331: 0.1294904339029017
212382: 0.5153992703853874
197612: 0.210773019149201
101804: 0.20817328391058254
49546: 0.11492460088265943
195639: 0.39917344068089733
49358: 0.11486978502307466
49163: 0.16733494469735888
87265: 0.020636888250010088
18943: 0.6885733487506513
56679: 0.002419353145342029
83296: 0.3093048296050256
181944: 0.016661806952470215
66960: 0.0031665740607422777
82744: 0.24169441703270422
88126: 0.5571105155850091
190946: 0.805428669671528
94733: 0.5855167577828979
201098: 0.5538480512914248
144614: 0.05809886417773669
65448: 0.5157277758116834
156112: 0.17863882791425567
123758: 0.6618673953707912
91948: 0.05343786807497963
10037: 0.005965438414932578
129824: 0.10533111805762019
121328: 0.1504806123157323
4943: 0.14377622257597977
79967: 0.5114737485419028
186266: 0.688756880512301
29554: 0.3133368692779186
153427: 0.38764913538034307
125413: 0.003163595601108682
156782: 0.04399692445440451
166247: 0.06362473248736933
166326: 0.6520497858728049
128300: 0.577891867769722
14426: 0.015938704731524922
165442: 0.3892778200097382
31654: 0.13141950424324023
1780: 0.17673040393856354
112347: 0.0157945624232525
188681: 0.03991496634534997
75719: 0.7149295318886288
3506: 0.5744880404745345
55259: 0.6386701881419867
37195: 0.0776152957114391
145109: 0.174759846939196
140315: 0.00961081622374138
59338: 0.8173078190975502
133223: 0.34507895279239165
56496: 0.03501919758855365
96898: 0.633062917901043
28353: 0.17569723181622976
180944: 0.7070087119936943
169346: 0.5852687464575865
94171: 0.14180151554501208
5182: 0.14785402656889346
108781: 0.2785571134663769
14195: 0.04084913494261855
12301: 0.055924352765941876
170558: 0.5555840648466983
211881: 0.0007476394137881925
173351: 0.023294108163099736
204955: 0.7279546703211963
136827: 0.8988078515976667
149435: 0.3792550659873086
204551: 0.5480730024646618
124256: 0.5646910575887887
175926: 0.21329029073422134
159992: 0.6048580391798168
181866: 0.001538619251732598
70598: 0.03432954330492066
193751: 0.04083743154478725
29861: 0.48031673668447183
165093: 0.7012559997383505
80488: 0.36829189397394657
129064: 0.16186086101515684
131621: 0.006629383220570162
80963: 0.3367940900334361
4946: 0.005614252309896983
121692: 0.39216099206714716
68397: 0.10512269072933123
215794: 0.01753105873012828
157845: 0.8102689279930928
78066: 0.01990577181095432
25058: 0.22441002941923216
104855: 0.05887167858418252
91758: 0.41145003486781206
68421: 0.008061577755142935
28718: 0.054479842248838395
153776: 0.11642655523610301
48203: 0.05693899703328498
151323: 0.015566284244414419
217892: 0.13376021860312903
85124: 0.03227380913449451
164504: 0.042001692607300356
166476: 0.2348377948273992
214308: 0.08096925707650371
210400: 0.9568996503949165
186388: 0.06967044006159995
157520: 0.05581178781721974
171871: 0.13606417331902776
95730: 0.13225417787907645
86955: 0.12160694244994374
59218: 0.1309220388357062
210183: 0.5739849476831296
47297: 0.006002928799716756
120787: 0.8516288830433041
144261: 0.1498471339345997
209867: 0.4607437326685613
214697: 0.7555677997388557
72734: 0.025903619622113183
62430: 0.011867047471241676
180698: 0.33319671470417234
4026: 0.038514039129950106
36868: 0.17314026941312477
64099: 0.4133194041551178
192232: 0.0008245898463314916
114795: 0.6797645659535192
39505: 0.066837549849879
149797: 0.3134719069694256
116747: 0.12394390747067519
48465: 0.39505759799067164
45429: 0.5098388567075745
145090: 0.08989696400385583
183973: 0.006343871817080071
42367: 0.0014236002305096918
69126: 0.051240012024209136
75125: 0.16792056928534294
52775: 0.33433607681399735
205873: 0.0021655526652466506
115644: 0.0027461417430458823
190527: 0.05374748360009107
56553: 0.024708603692488396
168990: 0.026793641069161822
62225: 0.04253981917827332
153507: 0.12200910589854175
186952: 0.7481950565215811
184917: 0.32629605657166394
134946: 0.047491599989371025
141757: 0.3948405351929978
170749: 0.0003988169082731474
96676: 0.046969058021204546
127755: 0.499532050869675
194192: 0.5039447166000173
205758: 0.0007910608328529634
44551: 0.441105950574638
90056: 0.4514487380602077
155132: 0.30962317822013574
55232: 0.020694649108918384
164740: 0.020727788150907145
62941: 0.0004880897613475099
37797: 0.383791395879598
167549: 0.0003086619544774294
Finished: scm_256, ins, most_first, sthsthv2, r2p1d, perturb, #Step=128
Average: 0.2657311788473192
Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_core5_test_summed.pt
Use 4 GPUs!
139242: 0.027421069715273916
208136: 0.30408039821668353
77933: 0.5624771805960336
60678: 0.010473777172592236
125118: 0.4223498587816721
133738: 0.17827714396480587
104179: 0.030786119797994616
141930: 0.018570599693703116
58849: 0.07123042859893758
9116: 0.1204684562253533
18518: 0.04613882665580604
208019: 0.09936109742920962
59701: 0.40986154759048077
160867: 0.0029870938506064704
120824: 0.7661970257031498
19680: 0.5900759244468645
206826: 0.2122205723899242
79321: 0.12120259003677347
89328: 0.005293729208915465
117570: 0.05413367419896531
170391: 0.0007066814241625252
70174: 0.6214508084012778
182726: 0.10352836053425563
215032: 0.2940444254199974
52914: 0.09634088122356843
130003: 0.03249294867418939
62316: 0.7745521388380894
118582: 0.7464467286554282
75836: 0.43079566715459805
31938: 0.7650768772582524
13332: 0.02745337703709083
25472: 0.06329056432150537
87638: 0.000416183964262018
148093: 0.14905094842106337
201342: 0.0004637215999991895
113500: 0.5668484370107763
121337: 0.3798279740240105
199113: 0.2653182476242364
67174: 0.2719532832452387
63822: 0.23972489161860722
88299: 0.22221980144968256
47054: 0.005942137335040343
113521: 0.6104240361382836
