Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_core5_test_summed.pt
Use 4 GPUs!
('139242', '208136', '77933', '60678', '125118', '133738', '104179', '141930', '58849', '9116', '18518', '208019', '59701', '160867', '120824', '19680', '206826', '79321', '89328', '117570', '170391', '70174', '182726', '215032', '52914', '130003', '62316', '118582', '75836', '31938', '13332', '25472', '87638', '148093', '201342', '113500', '121337', '199113', '67174', '63822', '88299', '47054', '113521', '61572', '49072', '185945', '186837', '12229') tensor([19, 18, 24,  7, 11,  7,  7, 22, 14, 20,  2,  7, 22, 23, 20, 16,  7,  8,
202780: 0.023648442100238753
42455: 0.0031496936207986437
11747: 0.24623981754120905
130929: 0.5435722345282556
94196: 0.9492871767724864
62715: 0.00928465616016183
151963: 0.4185113262210507
47092: 0.0016372053864870395
188772: 0.0029104819186613895
143509: 0.3452035393784172
142966: 0.6168533120362554
196208: 0.0015601758811953914
32036: 0.321816987299826
83546: 0.3632277532815351
163062: 0.8776716296415543
102714: 0.07904375614998571
209669: 0.0712700282165315
3160: 0.9300771243142663
219137: 0.005196107740630396
192999: 0.0008449764191027498
189956: 0.9727444336749613
('214386', '181779', '80543', '142613', '16243', '158456', '39615', '143141', '76070', '55254', '213844', '15422', '108505', '150230', '51847', '37985', '65595', '1027', '5880', '142521', '146053', '193859', '39506', '1425', '116233', '89783', '166887', '152367', '163353', '207003', '5690', '27809', '6010', '108987', '135839', '8318', '31255', '78843', '205927', '180173', '156041', '110857', '219973', '5903', '189608', '92150', '39793', '172789') tensor([22,  1, 12, 21, 19, 12, 13,  0,  5,  7,  4,  4,  6, 10,  7, 15, 13, 15,
        12, 14, 14, 11,  5,  2,  9,  7,  6,  0,  7, 11, 18, 11, 11, 20,  9, 14,
         1, 16, 20, 16,  0, 23,  7,  1,  5, 12, 21, 17]) ('Moving something and something closer to each other', 'Plugging something into something', 'Moving something down', 'Pushing something so that it slightly moves', 'Pushing something so that it falls off the table', 'Moving something down', 'Squeezing something', 'Tearing something into two pieces', 'Tearing something just a little bit', 'Moving something up', 'Something falling like a feather or paper', 'Something falling like a feather or paper', 'Taking one of many similar things on the table', 'Something falling like a rock', 'Moving something up', 'Putting something into something', 'Squeezing something', 'Putting something into something', 'Moving something down', 'Putting something on a surface', 'Putting something on a surface', 'Uncovering something', 'Tearing something just a little bit', 'Covering something with something', 'Stuffing something into something', 'Moving something up', 'Taking one of many similar things on the table', 'Tearing something into two pieces', 'Moving something up', 'Uncovering something', 'Pouring something into something', 'Uncovering something', 'Uncovering something', 'Showing that something is empty', 'Stuffing something into something', 'Putting something on a surface', 'Plugging something into something', 'Putting something similar to other things that are already on the table', 'Showing that something is empty', 'Putting something similar to other things that are already on the table', 'Tearing something into two pieces', 'Showing something to the camera', 'Moving something up', 'Plugging something into something', 'Tearing something just a little bit', 'Moving something down', 'Pushing something so that it slightly moves', 'Folding something')
214386: 0.0013838519930686743
181779: 0.7401085284727742
80543: 0.06980378201114945
142613: 0.001958813458259101
16243: 0.06880056576392235
158456: 0.1879707016341854
39615: 0.01638013964111451
143141: 0.6566122858275776
76070: 0.4217784518332337
55254: 0.03954114080988802
213844: 0.3995802208519308
15422: 0.4775014302431373
108505: 0.6082402529536921
150230: 0.0968884139729198
51847: 0.0662596500624204
37985: 0.00448651969054481
65595: 0.07785170352144632
1027: 0.0010521866479393793
5880: 0.37052147116628475
142521: 0.14382437206586474
146053: 0.3542148986343818
193859: 0.001996641443838598
39506: 0.04474216787639307
1425: 0.44961129593866644
116233: 0.2848117399335024
89783: 0.07240468740201322
166887: 0.31959161640770617
152367: 0.8332521330521558
163353: 0.38433552990318276
207003: 0.542556775486446
