Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_sg2_full.pt
v_IceDancing_g04_c07: 0.0741965505477833
v_IceDancing_g05_c01: 0.10343284141565637
v_IceDancing_g05_c02: 0.06896536767218761
v_IceDancing_g05_c03: 0.07558316437483538
v_IceDancing_g05_c04: 0.06597704633219739
v_IceDancing_g05_c05: 0.08098213150950632
v_IceDancing_g05_c06: 0.0804992062296337
v_IceDancing_g06_c01: 0.10731086955501104
v_IceDancing_g06_c02: 0.06769828298165807
v_IceDancing_g06_c03: 0.07103316426482492
v_IceDancing_g06_c04: 0.10382638671472082
v_IceDancing_g06_c05: 0.04304785145754655
v_IceDancing_g06_c06: 0.039909995674324315
v_IceDancing_g07_c01: 0.07580179913981458
v_IceDancing_g07_c02: 0.05879416005084599
v_IceDancing_g07_c03: 0.06448668686629046
v_IceDancing_g07_c04: 0.06987748206336433
v_IceDancing_g07_c05: 0.055029637224268256
v_IceDancing_g07_c06: 0.06693612871412921
v_IceDancing_g07_c07: 0.07484437043477934
v_LongJump_g01_c01: 0.15699515705671543
v_LongJump_g01_c02: 0.1928573100273974
v_LongJump_g01_c03: 0.25056663786031774
v_LongJump_g01_c04: 0.2075925290742229
v_LongJump_g01_c05: 0.20045709114074414
v_LongJump_g01_c06: 0.15001576783788192
v_LongJump_g01_c07: 0.2089447902101202
v_LongJump_g02_c01: 0.18408976996676835
v_LongJump_g02_c02: 0.211524676353722
v_LongJump_g02_c03: 0.21992035688077077
v_LongJump_g02_c04: 0.2593050509614239
v_LongJump_g02_c05: 0.23721468140459143
v_LongJump_g03_c01: 0.03536993121236973
v_LongJump_g03_c02: 0.04216718928719775
v_LongJump_g03_c03: 0.06450237764786254
v_LongJump_g03_c04: 0.060606205760772656
v_LongJump_g03_c05: 0.08064316268680309
v_LongJump_g03_c06: 0.07331788912232173
v_LongJump_g04_c01: 0.13550969063465695
v_LongJump_g04_c02: 0.16290819829542513
v_LongJump_g04_c03: 0.161701557173313
v_LongJump_g04_c04: 0.1074340373669993
v_LongJump_g04_c05: 0.11924784621553804
v_LongJump_g04_c06: 0.14300209656174434
v_LongJump_g04_c07: 0.16947334344630813
v_LongJump_g05_c01: 0.022852638309205493
v_LongJump_g05_c02: 0.02388610934112661
v_LongJump_g05_c03: 0.032152030028505474
v_LongJump_g05_c04: 0.0737169171100497
v_LongJump_g05_c05: 0.046426683633155594
v_LongJump_g06_c01: 0.02085291286087118
v_LongJump_g06_c02: 0.017397424453634798
v_LongJump_g06_c03: 0.008821810410526676
v_LongJump_g06_c04: 0.030845739209555148
v_LongJump_g07_c01: 0.048037553834912226
