Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core8_fade_test_summed.pt
v_HorseRiding_g01_c04: 0.8800114250161641
v_HorseRiding_g01_c05: 0.8733274793603414
v_HorseRiding_g01_c06: 0.7898329949357503
v_HorseRiding_g01_c07: 0.7309437251069539
v_HorseRiding_g02_c01: 0.8169778442361348
v_HorseRiding_g02_c02: 0.8545520162560933
v_HorseRiding_g02_c03: 0.8468094325044149
v_HorseRiding_g02_c04: 0.8048117017724508
v_HorseRiding_g02_c05: 0.7750215983369344
v_HorseRiding_g02_c06: 0.8754299736001485
v_HorseRiding_g02_c07: 0.8593601441361898
v_HorseRiding_g03_c01: 0.8672304606416219
