The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_grad_cam_full_layer3_test.pt
v_SalsaSpin_g01_c04: 0.5391127699584353
v_SalsaSpin_g01_c05: 0.5622503470410319
v_SalsaSpin_g01_c06: 0.5687098424370383
v_SalsaSpin_g01_c07: 0.5137820503510097
v_SalsaSpin_g02_c01: 0.4491389572620392
v_SalsaSpin_g02_c02: 0.31569105247948687
v_SalsaSpin_g02_c03: 0.20165817363224192
v_SalsaSpin_g02_c04: 0.4932814019056512
v_SalsaSpin_g02_c05: 0.3301379833881761
v_SalsaSpin_g02_c06: 0.29490738532998984
v_SalsaSpin_g02_c07: 0.3088878129188921
v_SalsaSpin_g03_c01: 0.70199483064752
v_SalsaSpin_g03_c02: 0.5396269045770168
v_SalsaSpin_g03_c03: 0.7260804043096655
v_SalsaSpin_g03_c04: 0.7778824642592785
