The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r50l_perturb_full_test_summed.pt
P26_09_32221-put-down-pot: 0.17605035287811988
P26_09_32230-pick-up-pot: 0.28333569219456894
P26_10_32236-pick-up-pot: 0.35269301696509286
P26_10_32241-put-pot: 0.32860395222692296
P26_10_32247-open-fridge: 0.3810446750724177
P26_12_32292-close-lid: 0.8205113494458298
P26_13_32297-open-lid: 0.9521028998113858
P26_13_32317-put-down-spoon: 0.5442444413863853
P26_13_32319-put-lid: 0.9371240004497653
P26_17_32347-take-spoon: 0.24427764556717638
P26_17_32353-put-down-plate: 0.8705587695745349
P26_18_32372-take-plate: 0.15217729555077705
P26_19_32404-pick-up-pot: 0.3257220065098498
P26_19_32434-put-down-glass: 0.3437938403516241
P26_19_32490-pick-up-pot: 0.4647696936605772
P26_19_32492-put-pot: 0.13227980796090216
P26_21_32505-close-cupboard: 0.6093600245156124
P26_28_32674-grab-fork: 0.0047322348548038025
P26_29_32690-put-lid: 0.19997188174210012
P27_01_32893-pick-up-fork: 0.023073318011273502
P27_04_33002-place-sponge: 0.20581007633061066
P27_06_33144-pick-up-spoon: 0.030282577628488926
P27_06_33145-pick-up-fork: 0.06351852419913984
P27_07_33177-take-cloth: 0.00429807200599302
P27_07_33257-turn-on-tap: 0.16839668576636435
P28_01_33343-put-down-pan: 0.05442616890130302
P28_02_33398-put-down-spatula: 0.0094416896173467
P28_02_33400-wash-knife: 0.3948592701337903
P28_02_33474-turn-on-tap: 0.7969992263614675
P28_02_33479-turn-on-tap: 0.38392744955755703
P28_02_33489-turn-on-tap: 0.20158195690178085
P28_03_33614-peel-potato: 0.765176083890073
P28_03_33621-turn-off-tap: 0.0014537306673945768
P28_04_33682-cut-potato: 0.6290832204082251
P28_05_33779-put-down-knife: 0.006525705719147535
P28_06_33862-take-knife: 0.48493464364186295
P28_06_33958-take-spoon: 0.4689431990624643
P28_08_34040-wash-knife: 0.01018974281582959
P28_09_34091-open-fridge: 0.7523391679477166
P28_09_34141-turn-on-tap: 0.3049184182292711
P28_13_34301-put-pan: 0.36239565767772386
P28_14_34393-put-down-sponge: 0.003801639809592184
P28_14_34394-turn-on-tap: 0.8304016347472926
P28_14_34396-turn-off-tap: 0.0028037227118829834
P29_01_34867-chop-onion: 0.5382124117539063
P29_01_34868-chop-onion: 0.5559613381081041
P29_01_34877-chop-onion: 0.23009368549831505
P29_01_34902-chop-onion: 0.3399216310335688
P29_02_35181-move-fork: 0.033969730777008565
P29_02_35206-open-drawer: 0.6203807642646865
P29_03_35254-put-down-glass: 0.5191144616555368
P29_03_35265-close-cupboard: 0.4014044415534419
P29_03_35296-move-pan: 0.061297327192390665
P29_03_35335-pick-up-spatula: 0.07772559856667238
P29_03_35355-pick-up-fork: 0.6046270750645621
P29_03_35439-pick-up-bowl: 0.7484773499343325
P29_03_35461-rinse-bowl: 0.5446666964165429
P29_03_35497-scour-knife: 0.0823164433501113
P29_03_35528-pick-up-plate: 0.49706248163026484
P29_03_35562-scour-spatula: 0.2783461736716038
P29_03_35564-scour-spatula: 0.11594319448203724
P29_03_35632-pick-up-bowl: 0.025696403913053813
P29_04_35774-open-fridge: 0.04486127517496546
P30_03_36639-clean-knife: 0.4658931864169312
P30_04_36678-take-fork: 0.35931813280810326
P30_05_36874-put-onion: 0.18070661128662965
P30_05_36904-chop-onion: 0.3653426458002251
P30_05_36922-chop-onion: 0.45251139393441525
P30_05_37020-open-cupboard: 0.7595735803538678
P30_05_37240-open-cupboard: 0.838346859060374
P30_05_37272-wash-spoon: 0.0689771824963756
P30_05_37511-take-plate: 0.8830243029996899
P30_05_37535-empty-bottle: 0.5283348741917187
P30_06_37605-dry-fork: 0.2497213470767818
P30_06_37668-rinse-plate: 0.8404997753415384
P30_06_37674-rinse-bowl: 0.49756517317146065
P30_10_38341-take-spoon: 0.6334880242964216
P30_10_38504-rinse-fork: 0.021251376377646618
P30_10_38535-take-spoon: 0.969112837676178
P30_10_38579-rinse-sponge: 0.39337084052785226
P30_11_38596-rinse-plate: 0.2503259227266444
P30_11_38661-wash-spoon: 0.6507298901238863
P30_11_38673-rise-sponge: 0.23597750863916778
P31_01_38722-take-glass: 0.0016904099197477883
P31_08_38926-open-fridge: 0.2429580912925303
P31_08_38943-open-fridge: 0.6258022906130873
Average: 0.0/0.4348283527141821
