Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core8_fade_test_summed.pt
P24_05_30226-rinse-knife: 0.16721223213255687
P24_05_30256-put-glass: 0.38374719284843195
P24_06_30353-grab-spoon: 0.779747698114079
P24_06_30384-rinse-sponge: 0.10506697754695793
P24_06_30417-rinse-fork: 0.07743284820116969
P24_06_30419-rinse-fork: 0.34729184133175295
P24_07_30534-pick-up-cloth: 0.00039228544596880965
P24_07_30551-put-down-fork: 0.01374996028221176
P24_07_30569-turn-meat: 0.008209780300546754
P24_08_30653-pick-up-pot: 0.0579240903288873
P24_08_30656-put-pot: 0.5003734341867698
P24_08_30692-cut-onion: 0.2979636108420891
P24_08_30777-pick-up-lid: 0.21158849445100714
P24_08_30836-take-bottle: 0.0003323383802241993
P24_08_30897-pick-up-lid: 0.1608871090870707
P24_08_30965-open-tap: 0.7540397545614042
P25_02_31371-pick-up-pot: 0.3294593957294296
P25_02_31387-put-down-lid: 0.11209483696484313
P25_02_31397-turn-tap: 0.6242781194683857
P25_02_31398-turn-tap: 0.37814462760582046
P25_05_31483-put-down-pan: 0.6539072527212966
P25_05_31499-close-tap: 0.6279050874815084
P25_05_31558-open-cupboard: 0.30993730401678476
P25_05_31564-put-down-fork: 0.024245381046057446
P25_05_31574-pick-up-spoon: 0.008448280725701807
P25_12_31949-open-drawer: 0.7702145664952695
P26_02_32021-put-down-fork: 0.47500506763753947
P26_02_32022-open-fridge: 0.775456630753979
P26_02_32061-put-down-fork: 0.49806009499297943
P26_03_32116-lather-pan: 0.24835715351048293
P26_03_32126-rinse-glass: 0.6888628078661441
P26_03_32127-soap-glass: 0.7522751109711407
P26_04_32152-put-lid: 0.7149004598327338
P26_06_32189-close-lid: 0.5936319797478973
P26_08_32201-put-down-spoon: 0.3237204243268934
P26_09_32220-pick-up-pot: 0.43882636530776153
P26_09_32221-put-down-pot: 0.25427872748565505
P26_09_32230-pick-up-pot: 0.11170507248476724
P26_10_32236-pick-up-pot: 0.35225161877912115
P26_10_32241-put-pot: 0.11706040690347663
P26_10_32247-open-fridge: 0.7766285314119159
P26_12_32292-close-lid: 0.8026623984046637
P26_13_32297-open-lid: 0.8215090890594183
P26_13_32317-put-down-spoon: 0.5820674187343684
P26_13_32319-put-lid: 0.8541596790023505
P26_17_32347-take-spoon: 0.2949079087775317
P26_17_32353-put-down-plate: 0.8129663547342716
P26_18_32372-take-plate: 0.08855429782579449
P26_19_32404-pick-up-pot: 0.17127913565360586
P26_19_32434-put-down-glass: 0.25945085338685203
P26_19_32490-pick-up-pot: 0.4456341067839844
P26_19_32492-put-pot: 0.1303630934731359
P26_21_32505-close-cupboard: 0.47533643354836386
P26_28_32674-grab-fork: 0.004745607144828634
P26_29_32690-put-lid: 0.0050236486544008585
P27_01_32893-pick-up-fork: 0.0534902277713627
P27_04_33002-place-sponge: 0.30772051635869957
P27_06_33144-pick-up-spoon: 0.0335242245646441
P27_06_33145-pick-up-fork: 0.03141879454778973
P27_07_33177-take-cloth: 0.002875659727450852
P27_07_33257-turn-on-tap: 0.20479076128106044
P28_01_33343-put-down-pan: 0.15492298715911082
P28_02_33398-put-down-spatula: 0.004133774933505523
P28_02_33400-wash-knife: 0.3570712740884119
P28_02_33474-turn-on-tap: 0.6105637146916933
P28_02_33479-turn-on-tap: 0.44375006917982773
P28_02_33489-turn-on-tap: 0.16315684830606614
P28_03_33614-peel-potato: 0.6067500576883731
P28_03_33621-turn-off-tap: 0.0003934661159519237
P28_04_33682-cut-potato: 0.6551118950866339
P28_05_33779-put-down-knife: 0.006396979214514431
P28_06_33862-take-knife: 0.3459503151361787
P28_06_33958-take-spoon: 0.1883282678973046
P28_08_34040-wash-knife: 0.018828043681245576
P28_09_34091-open-fridge: 0.8081349021649658
P28_09_34141-turn-on-tap: 0.39809512550129966
P28_13_34301-put-pan: 0.2997355426324475
P28_14_34393-put-down-sponge: 0.01180860132046746
