Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core8_summed.pt
P22_13_27110-rinse-sponge: 0.38485990743356524
P22_13_27135-rinse-sponge: 0.22472006989846705
P22_13_27154-rinse-knife: 0.6095719661025214
P22_13_27218-wash-cloth: 0.5898299077234697
P22_14_27373-open-drawer: 0.8629010288714198
P22_14_27404-open-tap: 0.5133119408274069
P22_14_27451-put-down-bowl: 0.33418422193335573
P22_14_27458-lather-knife: 0.16119447678647703
P22_14_27459-rinse-knife: 0.16943137687485432
P22_14_27462-put-down-spatula: 0.0036640277073036742
P22_15_27640-put-down-plate: 0.962966819293797
P22_15_27737-close-tap: 0.01702340880308384
P22_16_27934-put-down-cloth: 0.8079441529407632
P22_16_28015-cut-onion: 0.9506054699158994
P22_16_28020-peel-onion: 0.908762613471481
P22_16_28022-peel-onion: 0.9604798650107114
P22_16_28038-slice-onion: 0.953256474036607
P22_16_28319-move-cloth: 0.8488884842663538
P22_16_28320-pick-up-cloth: 0.2945845615759026
P22_16_28411-open-drawer: 0.943779607230681
P22_17_28425-move-bowl: 0.48627207242952863
P22_17_28449-lather-fork: 0.14023437388823368
P22_17_28547-put-down-pan: 0.44595724446116947
P22_17_28573-open-tap: 0.005579233221828961
P22_17_28584-lather-fork: 0.592925409815507
P22_17_28642-fill-bottle: 0.5335618607641663
P22_17_28649-rinse-bottle: 0.03291083649673965
P22_17_28658-rinse-sponge: 0.04257232495729113
P22_17_28740-pick-up-plate: 0.9698162139393389
P22_17_28854-put-down-glass: 0.635400618048152
P22_17_28855-put-down-glass: 0.2228778489807155
P22_17_28870-put-down-plate: 0.31099586584605277
P22_17_28903-dry-knife: 0.4782695614194381
P23_02_29082-wash-plate: 0.9696805910207331
P23_02_29125-open-fridge: 0.7493769051870913
P23_02_29204-close-tap: 0.12321746547240764
P23_04_29364-clean-bowl: 0.568451006441137
P24_01_29576-grab-cloth: 0.7004500089387875
P24_02_29640-open-fridge: 0.5305658053039224
P24_02_29661-close-fridge: 0.7357149541276158
P24_02_29710-turn-meat: 0.7009900598059176
P24_02_29718-cut-meat: 0.7781721529754577
P24_02_29727-take-meat: 0.1654069180804072
P24_02_29739-flip-meat: 0.8178457598405657
P24_02_29747-check-meat: 0.7597683853673516
P24_02_29778-turn-meat: 0.7760159493627725
P24_02_29781-put-meat: 0.025204316407325678
P24_02_29785-take-cloth: 0.13783982351014856
P24_03_29796-pick-up-plate: 0.03289875034244005
P24_03_29802-rinse-sponge: 0.7248563447428751
P24_03_29811-lather-fork: 0.3230665515002329
P24_03_29903-rinse-sponge: 0.9022518487108755
P24_03_29914-pick-up-cloth: 0.4696006924204994
P24_04_29996-lather-knife: 0.8918166763542104
P24_05_30046-pick-up-lid: 0.8989622227818472
P24_05_30062-put-down-plate: 0.8860782098490745
P24_05_30105-move-pot: 0.03705861425260082
P24_05_30194-lift-lid: 0.6387956997350557
P24_05_30195-put-down-lid: 0.016348439812986726
P24_05_30226-rinse-knife: 0.11727985218021786
P24_05_30256-put-glass: 0.5437021842080867
P24_06_30353-grab-spoon: 0.6729227730284038
P24_06_30384-rinse-sponge: 0.01802170747942
P24_06_30417-rinse-fork: 0.3177477923745755
P24_06_30419-rinse-fork: 0.9340326441742945
P24_07_30534-pick-up-cloth: 0.07518362630071351
P24_07_30551-put-down-fork: 0.014224897237652634
P24_07_30569-turn-meat: 0.0825721380970208
P24_08_30653-pick-up-pot: 0.09285295833251439
P24_08_30656-put-pot: 0.6268769343732856
P24_08_30692-cut-onion: 0.943359321609023
P24_08_30777-pick-up-lid: 0.6128660932154162
P24_08_30836-take-bottle: 0.6118393480719533
P24_08_30897-pick-up-lid: 0.23129227761819493
P24_08_30965-open-tap: 0.011366304004297945
P25_02_31371-pick-up-pot: 0.42030918755335733
P25_02_31387-put-down-lid: 0.003305338483548692
P25_02_31397-turn-tap: 0.7554533359361812
P25_02_31398-turn-tap: 0.7825949453981593
P25_05_31483-put-down-pan: 0.6722997022297932
P25_05_31499-close-tap: 0.7840564415091649
P25_05_31558-open-cupboard: 0.32535422695218585
P25_05_31564-put-down-fork: 0.26509076918591745
P25_05_31574-pick-up-spoon: 0.06099399283868934
P25_12_31949-open-drawer: 0.2730340158304898
P26_02_32021-put-down-fork: 0.29699806988355704
P26_02_32022-open-fridge: 0.5350871608025045
P26_02_32061-put-down-fork: 0.2522170376323629
P26_03_32116-lather-pan: 0.4040742139768554
P26_03_32126-rinse-glass: 0.6960304391977843
P26_03_32127-soap-glass: 0.8936585151532199
P26_04_32152-put-lid: 0.9267438513197703
P26_06_32189-close-lid: 0.8150678223901195
P26_08_32201-put-down-spoon: 0.7212744995231333
P26_09_32220-pick-up-pot: 0.5987966141547076
P26_09_32221-put-down-pot: 0.3274558092816733
P26_09_32230-pick-up-pot: 0.35681995417689905
P26_10_32236-pick-up-pot: 0.0512678408085776
P26_10_32241-put-pot: 0.04305884812220029
P26_10_32247-open-fridge: 0.8004723764388473
P26_12_32292-close-lid: 0.8986346500896616
P26_13_32297-open-lid: 0.8249580136471195
P26_13_32317-put-down-spoon: 0.6573387214193644
P26_13_32319-put-lid: 0.9169340364605887
P26_17_32347-take-spoon: 0.7177395306389371
P26_17_32353-put-down-plate: 0.8564135080669075
P26_18_32372-take-plate: 0.08949873468372971
P26_19_32404-pick-up-pot: 0.001908147296376228
P26_19_32434-put-down-glass: 0.23534128474420868
P26_19_32490-pick-up-pot: 0.0697100562392734
P26_19_32492-put-pot: 0.34925130516057834
P26_21_32505-close-cupboard: 0.3286289067182224
P26_28_32674-grab-fork: 0.00027511123647627755
P26_29_32690-put-lid: 0.7859133030724479
P27_01_32893-pick-up-fork: 0.13109125382834463
P27_04_33002-place-sponge: 0.059042450613560504
P27_06_33144-pick-up-spoon: 0.8734171283176693
P27_06_33145-pick-up-fork: 0.027640837455692235
P27_07_33177-take-cloth: 0.0029396554790537266
P27_07_33257-turn-on-tap: 0.5513160404516384
