Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core8_fade_test_summed.pt
P22_08_25740-pick-up-pan: 0.5119944214093266
P22_08_25748-lather-pan: 0.7718970203277422
P22_08_25752-rinse-spoon: 0.6787008282008173
P22_08_25853-rinse-glass: 0.34156749103567563
P22_08_25857-rinse-cloth: 0.46986226525041275
P22_09_26001-put-down-plate: 0.9108579396270216
P22_09_26033-open-drawer: 0.6268761150276987
P22_09_26061-lather-bowl: 0.0014076667348490446
P22_09_26136-rinse-cloth: 0.5670249880931806
P22_10_26287-rinse-bowl: 0.5683247677616237
P22_10_26318-pick-up-spoon: 0.15693644911698357
P22_10_26319-lather-spoon: 0.1564887075983279
P22_10_26340-pick-up-bowl: 0.4012594889018146
P22_10_26426-lather-glass: 0.826600411295658
P22_10_26508-empty-bottle: 0.012574457171323772
P22_10_26511-empty-bottle: 0.04634850504226051
P22_11_26606-place-glass: 0.7479790952929761
P22_11_26644-put-down-bowl: 0.5031466395694224
P22_11_26763-rinse-glass: 0.07005427617828275
P22_12_26841-open-drawer: 0.773415016636136
P22_12_26959-put-plate: 0.42718801368027925
P22_13_27105-open-tap: 0.7087685057194903
P22_13_27110-rinse-sponge: 0.3359045265169698
P22_13_27135-rinse-sponge: 0.135988631976943
P22_13_27154-rinse-knife: 0.5827591146735358
P22_13_27218-wash-cloth: 0.6459998348436784
P22_14_27373-open-drawer: 0.6573160259722499
P22_14_27404-open-tap: 0.4856199506903067
P22_14_27451-put-down-bowl: 0.27574517578887026
P22_14_27458-lather-knife: 0.06272361755691236
P22_14_27459-rinse-knife: 0.22575795990269398
P22_14_27462-put-down-spatula: 0.0024036276560526204
P22_15_27640-put-down-plate: 0.9064614372327924
P22_15_27737-close-tap: 0.042058104666807594
P22_16_27934-put-down-cloth: 0.696027491678251
P22_16_28015-cut-onion: 0.9138437688088743
P22_16_28020-peel-onion: 0.7877058183512418
P22_16_28022-peel-onion: 0.8622847294172971
P22_16_28038-slice-onion: 0.8906718354410259
P22_16_28319-move-cloth: 0.5194633281498682
P22_16_28320-pick-up-cloth: 0.4380775582685601
P22_16_28411-open-drawer: 0.873360414916533
P22_17_28425-move-bowl: 0.5155804511259703
P22_17_28449-lather-fork: 0.14354675301001407
P22_17_28547-put-down-pan: 0.38723054630099796
P22_17_28573-open-tap: 0.003816218167662644
P22_17_28584-lather-fork: 0.5638976497866679
P22_17_28642-fill-bottle: 0.46967983766808175
P22_17_28649-rinse-bottle: 0.02336033583560493
P22_17_28658-rinse-sponge: 0.06244277754012728
P22_17_28740-pick-up-plate: 0.9716455996967852
P22_17_28854-put-down-glass: 0.45116915795370005
P22_17_28855-put-down-glass: 0.2743490823486354
P22_17_28870-put-down-plate: 0.2156494150403887
P22_17_28903-dry-knife: 0.5438629530763137
P23_02_29082-wash-plate: 0.7635413245297968
P23_02_29125-open-fridge: 0.5514314296087832
P23_02_29204-close-tap: 0.13407804269809276
P23_04_29364-clean-bowl: 0.5397995901394097
P24_01_29576-grab-cloth: 0.6377908645372372
P24_02_29640-open-fridge: 0.5324647496818216
P24_02_29661-close-fridge: 0.4417849004166783
P24_02_29710-turn-meat: 0.46946773810486775
P24_02_29718-cut-meat: 0.5628986534866272
P24_02_29727-take-meat: 0.06593239858921152
P24_02_29739-flip-meat: 0.5217022280412493
P24_02_29747-check-meat: 0.6347845382260857
P24_02_29778-turn-meat: 0.5698759676160989
P24_02_29781-put-meat: 0.014716821417096071
P24_02_29785-take-cloth: 0.07756948425958399
P24_03_29796-pick-up-plate: 0.03440530616791193
P24_03_29802-rinse-sponge: 0.6294221559001016
P24_03_29811-lather-fork: 0.3513742874201853
P24_03_29903-rinse-sponge: 0.7800543995035696
P24_03_29914-pick-up-cloth: 0.3021891862445045
P24_04_29996-lather-knife: 0.6732112772224355
P24_05_30046-pick-up-lid: 0.6542121998936636
P24_05_30062-put-down-plate: 0.8828251075465232
P24_05_30105-move-pot: 0.038322825042996556
P24_05_30194-lift-lid: 0.4948284586862428
P24_05_30195-put-down-lid: 0.005155221172003621
