Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core8_cylinder_summed.pt
P22_17_28740-pick-up-plate: 0.907197960729718
P22_17_28854-put-down-glass: 0.4216320910993545
P22_17_28855-put-down-glass: 0.1949923551212578
P22_17_28870-put-down-plate: 0.11062774512265605
P22_17_28903-dry-knife: 0.35996516993054684
P23_02_29082-wash-plate: 0.7290627929223774
P23_02_29125-open-fridge: 0.8264139852381049
P23_02_29204-close-tap: 0.1443382420781063
P23_04_29364-clean-bowl: 0.5961649415203283
P24_01_29576-grab-cloth: 0.45496577591097775
P24_02_29640-open-fridge: 0.9072117692685424
P24_02_29661-close-fridge: 0.5729429618349968
P24_02_29710-turn-meat: 0.4857527328185256
P24_02_29718-cut-meat: 0.5985704374961074
P24_02_29727-take-meat: 0.0020224186847919157
P24_02_29739-flip-meat: 0.4130148304156478
P24_02_29747-check-meat: 0.5105191779784377
P24_02_29778-turn-meat: 0.757859559123915
P24_02_29781-put-meat: 0.0014908250513485655
P24_02_29785-take-cloth: 0.10867004270244252
P24_03_29796-pick-up-plate: 0.8046865796977727
P24_03_29802-rinse-sponge: 0.6634703637261055
P24_03_29811-lather-fork: 0.4123084130551433
P24_03_29903-rinse-sponge: 0.7668625475067756
P24_03_29914-pick-up-cloth: 0.013993475548204515
P24_04_29996-lather-knife: 0.6578950305820399
P24_05_30046-pick-up-lid: 0.8334248333417236
P24_05_30062-put-down-plate: 0.9648425677632986
P24_05_30105-move-pot: 0.015204443038385307
P24_05_30194-lift-lid: 0.02910826806373734
P24_05_30195-put-down-lid: 0.32056971752945174
P24_05_30226-rinse-knife: 0.011672688764634565
P24_05_30256-put-glass: 0.44295761250327814
P24_06_30353-grab-spoon: 0.9139851663567242
P24_06_30384-rinse-sponge: 0.1332125143273153
P24_06_30417-rinse-fork: 0.10008495269812556
P24_06_30419-rinse-fork: 0.4282710693514673
P24_07_30534-pick-up-cloth: 0.00040177800951823883
P24_07_30551-put-down-fork: 0.012968196937208631
P24_07_30569-turn-meat: 0.004864469612527955
P24_08_30653-pick-up-pot: 0.044195520135835005
P24_08_30656-put-pot: 0.6586843839891685
P24_08_30692-cut-onion: 0.3158992743037743
P24_08_30777-pick-up-lid: 0.49268398431058813
P24_08_30836-take-bottle: 7.149387366803108e-05
P24_08_30897-pick-up-lid: 0.18595330600555826
P24_08_30965-open-tap: 0.843178202799777
P25_02_31371-pick-up-pot: 0.04371894943011512
P25_02_31387-put-down-lid: 0.1761261100914453
P25_02_31397-turn-tap: 0.5879889043804951
P25_02_31398-turn-tap: 0.4538953957904823
P25_05_31483-put-down-pan: 0.7265537514014113
P25_05_31499-close-tap: 0.46825666905499475
P25_05_31558-open-cupboard: 0.2669237015215913
P25_05_31564-put-down-fork: 0.01363249650967191
P25_05_31574-pick-up-spoon: 0.004334010981096981
P25_12_31949-open-drawer: 0.7351161926053464
P26_02_32021-put-down-fork: 0.4921398234873777
P26_02_32022-open-fridge: 0.8495308394903986
P26_02_32061-put-down-fork: 0.5696099576161942
P26_03_32116-lather-pan: 0.2763972645753938
P26_03_32126-rinse-glass: 0.8412696195803164
P26_03_32127-soap-glass: 0.744129778634715
P26_04_32152-put-lid: 0.7275780101485907
P26_06_32189-close-lid: 0.600425538345462
P26_08_32201-put-down-spoon: 0.4307473291482893
P26_09_32220-pick-up-pot: 0.7163198123731149
P26_09_32221-put-down-pot: 0.23960385532569717
P26_09_32230-pick-up-pot: 0.1786498429997323
P26_10_32236-pick-up-pot: 0.23904305664342473
P26_10_32241-put-pot: 0.015656404967160142
P26_10_32247-open-fridge: 0.8046095146692096
P26_12_32292-close-lid: 0.7914917727180182
P26_13_32297-open-lid: 0.9034154077239691
P26_13_32317-put-down-spoon: 0.6294669992130366
P26_13_32319-put-lid: 0.9011062045760809
P26_17_32347-take-spoon: 0.324843060116109
P26_17_32353-put-down-plate: 0.8848651727503238
P26_18_32372-take-plate: 0.0941179369301608
P26_19_32404-pick-up-pot: 0.019470721045365735
P26_19_32434-put-down-glass: 0.49161091498467613
P26_19_32490-pick-up-pot: 0.32727904119980167
P26_19_32492-put-pot: 0.16096413300198265
P26_21_32505-close-cupboard: 0.6511490653938381
P26_28_32674-grab-fork: 0.002480285122688608
P26_29_32690-put-lid: 0.005473766633599553
P27_01_32893-pick-up-fork: 0.04019785554464761
P27_04_33002-place-sponge: 0.33930018964895226
P27_06_33144-pick-up-spoon: 0.051709199354263546
P27_06_33145-pick-up-fork: 0.04991338938998524
P27_07_33177-take-cloth: 0.005150306384038572
P27_07_33257-turn-on-tap: 0.28630994777779506
P28_01_33343-put-down-pan: 0.10104525351128749
P28_02_33398-put-down-spatula: 0.011412208934414851
P28_02_33400-wash-knife: 0.4796647663579279
P28_02_33474-turn-on-tap: 0.7030821635213442
P28_02_33479-turn-on-tap: 0.4022103405383177
P28_02_33489-turn-on-tap: 0.37005288516939316
P28_03_33614-peel-potato: 0.6859690413385806
P28_03_33621-turn-off-tap: 0.0005492085998639595
P28_04_33682-cut-potato: 0.622056828024256
P28_05_33779-put-down-knife: 0.014399483920897183
P28_06_33862-take-knife: 0.44701836480544443
P28_06_33958-take-spoon: 0.1493392008196679
P28_08_34040-wash-knife: 0.0037632384008283726
P28_09_34091-open-fridge: 0.7977618462300597
P28_09_34141-turn-on-tap: 0.43401193076863365
P28_13_34301-put-pan: 0.47020938644539
P28_14_34393-put-down-sponge: 0.026582602523944843
P28_14_34394-turn-on-tap: 0.8081216958177038
