Loaded /home/lzq/ExpEval/exe_res/epic_r50l_la_full.pt
P24_02_29747-check-meat: 0.16088234013835745
P24_02_29778-turn-meat: 0.17305834717075186
P24_02_29781-put-meat: 6.096096325336475e-05
P24_02_29785-take-cloth: 0.006013494179796908
P24_03_29796-pick-up-plate: 0.9443922334658055
P24_03_29802-rinse-sponge: 0.34345389019438244
P24_03_29811-lather-fork: 0.44130237770150416
P24_03_29903-rinse-sponge: 0.39850658785292126
P24_03_29914-pick-up-cloth: 0.0011023190947980765
P24_04_29996-lather-knife: 0.3484289368034297
P24_05_30046-pick-up-lid: 0.45517649941075433
P24_05_30062-put-down-plate: 0.948716173491448
P24_05_30105-move-pot: 0.001901374262047284
P24_05_30194-lift-lid: 0.1800600657884388
P24_05_30195-put-down-lid: 0.03532454112473715
P24_05_30226-rinse-knife: 0.014929929864771596
P24_05_30256-put-glass: 0.29226571582626093
P24_06_30353-grab-spoon: 0.9031598899309756
P24_06_30384-rinse-sponge: 0.3693334237795334
P24_06_30417-rinse-fork: 0.49834690950137883
P24_06_30419-rinse-fork: 0.2614593057951424
P24_07_30534-pick-up-cloth: 6.439384492296085e-05
P24_07_30551-put-down-fork: 0.66420160086534
P24_07_30569-turn-meat: 0.01513269256059857
P24_08_30653-pick-up-pot: 0.0020482075890608104
P24_08_30656-put-pot: 0.08107904359155782
P24_08_30692-cut-onion: 0.3272406957030398
P24_08_30777-pick-up-lid: 0.19502075781974781
P24_08_30836-take-bottle: 0.00020356755331954376
P24_08_30897-pick-up-lid: 0.07456945625062872
P24_08_30965-open-tap: 0.05120396747423683
P25_02_31371-pick-up-pot: 0.011549335222184709
P25_02_31387-put-down-lid: 0.015662135440379643
P25_02_31397-turn-tap: 0.11184236284515237
P25_02_31398-turn-tap: 0.07441365549510692
P25_05_31483-put-down-pan: 0.134596921049706
P25_05_31499-close-tap: 0.04832096205262815
P25_05_31558-open-cupboard: 0.12227820426778635
P25_05_31564-put-down-fork: 0.3158722181142366
P25_05_31574-pick-up-spoon: 0.048493904335600746
P25_12_31949-open-drawer: 0.10352479806169868
P26_02_32021-put-down-fork: 0.6907398772600573
P26_02_32022-open-fridge: 0.03212653952505207
P26_02_32061-put-down-fork: 0.6477581906074192
P26_03_32116-lather-pan: 0.207814685080848
P26_03_32126-rinse-glass: 0.38527033459763516
P26_03_32127-soap-glass: 0.46168190408866394
P26_04_32152-put-lid: 0.0887363215156256
P26_06_32189-close-lid: 0.07655998013842691
P26_08_32201-put-down-spoon: 0.5813299108558567
P26_09_32220-pick-up-pot: 0.06338461200164147
P26_09_32221-put-down-pot: 0.038324792547314246
P26_09_32230-pick-up-pot: 0.024137119265901674
P26_10_32236-pick-up-pot: 0.037761474521062155
P26_10_32241-put-pot: 0.027458253154577505
P26_10_32247-open-fridge: 0.13037817915756023
P26_12_32292-close-lid: 0.45565655428845275
P26_13_32297-open-lid: 0.3080741127200781
P26_13_32317-put-down-spoon: 0.7581641560682328
P26_13_32319-put-lid: 0.3203478117652594
P26_17_32347-take-spoon: 0.7806801619735779
P26_17_32353-put-down-plate: 0.4991753777330814
P26_18_32372-take-plate: 0.06013102161978168
P26_19_32404-pick-up-pot: 0.1786174243587766
P26_19_32434-put-down-glass: 0.04997503436538864
P26_19_32490-pick-up-pot: 0.2695237497372318
P26_19_32492-put-pot: 0.013098297224019007
P26_21_32505-close-cupboard: 0.04924918614415219
P26_28_32674-grab-fork: 0.13232403747367916
P26_29_32690-put-lid: 0.0011269151457327098
P27_01_32893-pick-up-fork: 0.3284357923466814
P27_04_33002-place-sponge: 0.09513587925323463
P27_06_33144-pick-up-spoon: 0.26920867895660194
P27_06_33145-pick-up-fork: 0.44801241331697383
P27_07_33177-take-cloth: 0.00014222351892101415
P27_07_33257-turn-on-tap: 0.05344425321726476
P28_01_33343-put-down-pan: 0.0017474226752803301
P28_02_33398-put-down-spatula: 0.005849087621753173
P28_02_33400-wash-knife: 0.2902590568528467
P28_02_33474-turn-on-tap: 0.40847512025555943
P28_02_33479-turn-on-tap: 0.581389621535152
P28_02_33489-turn-on-tap: 0.20671918606264583
P28_03_33614-peel-potato: 0.22935852562545733
P28_03_33621-turn-off-tap: 0.07194108905440544
P28_04_33682-cut-potato: 0.4291956882505019
P28_05_33779-put-down-knife: 0.009397745995556761
P28_06_33862-take-knife: 0.5267868448399895
P28_06_33958-take-spoon: 0.5467830587440403
