Loaded /home/lzq/ExpEval/exe_res/epic_r50l_eb_full.pt
P24_02_29778-turn-meat: 0.7430689645461257
P24_02_29781-put-meat: 0.0004764418671925341
P24_02_29785-take-cloth: 0.00583837064027648
P24_03_29796-pick-up-plate: 0.007691090072512452
P24_03_29802-rinse-sponge: 0.7817459465164802
P24_03_29811-lather-fork: 0.7780400696065044
P24_03_29903-rinse-sponge: 0.7236384512085579
P24_03_29914-pick-up-cloth: 0.0016810092695322965
P24_04_29996-lather-knife: 0.8312289138675624
P24_05_30046-pick-up-lid: 0.9142350821934997
P24_05_30062-put-down-plate: 0.9422401288366018
P24_05_30105-move-pot: 0.00833843405649759
P24_05_30194-lift-lid: 0.5398803063148989
P24_05_30195-put-down-lid: 0.6382262643605827
P24_05_30226-rinse-knife: 0.07235523231804653
P24_05_30256-put-glass: 0.7036160852796911
P24_06_30353-grab-spoon: 0.9244339797951397
P24_06_30384-rinse-sponge: 0.23864356438949486
P24_06_30417-rinse-fork: 0.007522522625549755
P24_06_30419-rinse-fork: 0.009641027732868679
P24_07_30534-pick-up-cloth: 0.00037042340522930317
P24_07_30551-put-down-fork: 0.02369385811812208
P24_07_30569-turn-meat: 0.3113789162361513
P24_08_30653-pick-up-pot: 0.009586588855162451
P24_08_30656-put-pot: 0.3226834946822805
P24_08_30692-cut-onion: 0.6724521135829491
P24_08_30777-pick-up-lid: 0.3418105917230605
P24_08_30836-take-bottle: 9.20374945169429e-05
P24_08_30897-pick-up-lid: 0.5925524548806607
P24_08_30965-open-tap: 0.01734164234420632
P25_02_31371-pick-up-pot: 0.0014141530214715203
P25_02_31387-put-down-lid: 0.21415616823696837
P25_02_31397-turn-tap: 0.4876406105997262
P25_02_31398-turn-tap: 0.49514586309140896
P25_05_31483-put-down-pan: 0.6054324044508803
P25_05_31499-close-tap: 0.18055898131041204
P25_05_31558-open-cupboard: 0.3069281933567254
P25_05_31564-put-down-fork: 0.03893158924620366
P25_05_31574-pick-up-spoon: 0.002568113250276838
P25_12_31949-open-drawer: 0.951717862393707
P26_02_32021-put-down-fork: 0.5711315346270567
P26_02_32022-open-fridge: 0.7451877232069819
P26_02_32061-put-down-fork: 0.02253995904175099
P26_03_32116-lather-pan: 0.5206078058237154
P26_03_32126-rinse-glass: 0.8423512054644107
P26_03_32127-soap-glass: 0.8406853692642926
P26_04_32152-put-lid: 0.6538911123939215
P26_06_32189-close-lid: 0.8520363538705169
P26_08_32201-put-down-spoon: 0.9015596200551954
P26_09_32220-pick-up-pot: 0.49833394391913544
P26_09_32221-put-down-pot: 0.40965459556770156
P26_09_32230-pick-up-pot: 0.23103496435084026
P26_10_32236-pick-up-pot: 0.1120833967857493
P26_10_32241-put-pot: 0.002703248725595131
P26_10_32247-open-fridge: 0.7861066832101642
P26_12_32292-close-lid: 0.8973053355880438
P26_13_32297-open-lid: 0.8245863576598822
P26_13_32317-put-down-spoon: 0.9004505759876338
P26_13_32319-put-lid: 0.7709053416915594
